350     351	352
150	151	152
800	801	802
52      52	52
12	13	14
15	16	17
16	17	18
17	18	19
17	18	19
18	19	20
20	21	22
20	21	22
21	22	23
22	23	24
24	25	26
22	23	24
20	21	22
18	19	20
17	18	19
16	17	18
14	15	16
13	14	15
13	14	15
14	15	16
15	16	17
16	17	18
17	18	19
19	20	21
21	22	23
22	23	24
23	24	25
22	23	24
24	25	26
26	27	28
27	28	29
28	29	30
30	31	32
32	33	34
32	33	34
30	31	32
29	30	31
28	29	30
26	27	28
25	26	27
25	26	27
24	25	26
22	23	24
22	23	24
19	20	21
20	21	22
18	19	20
17	18	19
16	17	18
16	17	18
14	15	16
13	14	15   
