Fixed Cost c_F^{1}=350.0
Fixed Cost c_F^{2}=351.0
Fixed Cost c_F^{3}=352.0
Variable Cost c_V^{1}=150.0
Variable Cost c_V^{2}=151.0
Variable Cost c_V^{3}=152.0
Hiring Cost c_V^{1}=800.0
Hiring Cost c_V^{2}=801.0
Hiring Cost c_V^{3}=802.0
Required number of vehicles:
v{k = 1}{t = 1}=12 
v{k = 2}{t = 1}=13 
v{k = 3}{t = 1}=14 
v{k = 1}{t = 2}=15 
v{k = 2}{t = 2}=16 
v{k = 3}{t = 2}=17 
v{k = 1}{t = 3}=16 
v{k = 2}{t = 3}=17 
v{k = 3}{t = 3}=18 
v{k = 1}{t = 4}=17 
v{k = 2}{t = 4}=18 
v{k = 3}{t = 4}=19 
v{k = 1}{t = 5}=17 
v{k = 2}{t = 5}=18 
v{k = 3}{t = 5}=19 
v{k = 1}{t = 6}=18 
v{k = 2}{t = 6}=19 
v{k = 3}{t = 6}=20 
v{k = 1}{t = 7}=20 
v{k = 2}{t = 7}=21 
v{k = 3}{t = 7}=22 
v{k = 1}{t = 8}=20 
v{k = 2}{t = 8}=21 
v{k = 3}{t = 8}=22 
v{k = 1}{t = 9}=21 
v{k = 2}{t = 9}=22 
v{k = 3}{t = 9}=23 
v{k = 1}{t = 10}=22 
v{k = 2}{t = 10}=23 
v{k = 3}{t = 10}=24 
v{k = 1}{t = 11}=24 
v{k = 2}{t = 11}=25 
v{k = 3}{t = 11}=26 
v{k = 1}{t = 12}=22 
v{k = 2}{t = 12}=23 
v{k = 3}{t = 12}=24 
v{k = 1}{t = 13}=20 
v{k = 2}{t = 13}=21 
v{k = 3}{t = 13}=22 
v{k = 1}{t = 14}=18 
v{k = 2}{t = 14}=19 
v{k = 3}{t = 14}=20 
v{k = 1}{t = 15}=17 
v{k = 2}{t = 15}=18 
v{k = 3}{t = 15}=19 
v{k = 1}{t = 16}=16 
v{k = 2}{t = 16}=17 
v{k = 3}{t = 16}=18 
v{k = 1}{t = 17}=14 
v{k = 2}{t = 17}=15 
v{k = 3}{t = 17}=16 
v{k = 1}{t = 18}=13 
v{k = 2}{t = 18}=14 
v{k = 3}{t = 18}=15 
v{k = 1}{t = 19}=13 
v{k = 2}{t = 19}=14 
